,Title,Availability,Rating,Price_in_pounds,Price_in_rupiah
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Available,1,25.52,510400
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Available,1,16.28,325600
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Available,3,31.12,622400
53,This One Summer,Available,4,19.49,389799
54,Thirst,Available,5,17.27,345400
55,The Torch Is Passed: A Harding Family Story,Available,1,19.09,381800
56,The Secret of Dreadwillow Carse,Available,1,56.13,1122600
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Available,1,56.41,1128200
58,The Past Never Ends,Available,4,56.5,1130000
59,The Natural History of Us (The Fine Art of Pretending #2),Available,3,45.22,904400
60,The Nameless City (The Nameless City #1),Available,4,38.16,763199
61,The Murder That Never Was (Forensic Instincts #5),Available,3,54.11,1082200
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Available,4,42.96,859200
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Available,4,23.89,477800
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Available,3,16.77,335400
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Available,5,20.59,411800
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Available,1,37.13,742600
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,Available,1,56.06,1121200
68,The Death of Humanity: and the Case for Life,Available,4,58.11,1162200
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Available,3,49.05,981000
70,The Art Forger,Available,3,40.76,815200
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Available,1,19.73,394600
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Available,5,32.24,644800
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Available,4,41.83,836600
74,Soul Reader,Available,2,39.58,791600
75,Security,Available,2,39.25,785000
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Available,3,25.02,500400
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Available,2,51.04,1020800
78,Reskilling America: Learning to Labor in the Twenty-First Century,Available,2,19.83,396599
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Available,3,50.4,1008000
